,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,1.9576248,1.2886696,0.3070588,0.55990005
1,100,0.9917045,0.85509115,0.66560006,0.69280005
2,150,0.72111297,0.68827885,0.7648,0.78940004
3,200,0.6684048,0.61908317,0.79120004,0.8011
4,250,0.6009388,0.65947485,0.8008,0.7943
5,300,0.7029122,0.61203086,0.78200006,0.80480003
6,350,0.5713514,0.5556732,0.836,0.8298
7,400,0.49776703,0.57922125,0.85040003,0.83180004
8,450,0.48434561,0.53281456,0.8536,0.83540004
9,500,0.49843276,0.4049671,0.84440005,0.8704001
10,550,0.40820995,0.40112743,0.8712,0.87500006
11,600,0.41456744,0.3564034,0.88400006,0.88860005
12,650,0.44778866,0.3825368,0.8572,0.87970006
13,700,0.34708035,0.4043432,0.89440006,0.86530006
14,750,0.338456,0.4468057,0.89040005,0.86140007
15,800,0.43110323,0.53748924,0.864,0.8299
16,850,0.40956962,0.38320586,0.874,0.8791
17,900,0.3280422,0.3374154,0.8992,0.8985
18,950,0.3543346,0.29887345,0.89080006,0.9039
19,1000,0.3596966,0.33050224,0.8880001,0.89820004
20,1050,0.3000846,0.2985545,0.91480005,0.91400003
21,1100,0.31451592,0.28231338,0.906,0.9107
22,1150,0.24502008,0.25054616,0.92560005,0.92100006
23,1200,0.22716206,0.38938656,0.93160003,0.87470007
24,1250,0.28788504,0.30060324,0.91120005,0.90760005
25,1300,0.26682746,0.2816684,0.92,0.9121
26,1350,0.26979786,0.25973013,0.9204,0.91670007
27,1400,0.2736906,0.27179065,0.91240007,0.91780007
28,1450,0.30078483,0.29547963,0.9056001,0.9071
29,1500,0.31057894,0.24516328,0.90440005,0.92160004
30,1550,0.28672135,0.2642874,0.92160004,0.91590005
31,1600,0.23943189,0.29296505,0.9276,0.90830004
32,1650,0.23791037,0.23953941,0.92920005,0.929
33,1700,0.26698685,0.20767853,0.9236,0.93750006
34,1750,0.22670047,0.21545307,0.9308,0.9326
35,1800,0.24236448,0.26666173,0.9236,0.9182
36,1850,0.26178613,0.21424751,0.92120004,0.93700004
37,1900,0.20035426,0.2342724,0.94720006,0.92820007
38,1950,0.23073772,0.22029704,0.92840004,0.93180007
39,2000,0.23605996,0.20432241,0.9268001,0.93630004
40,2050,0.22327107,0.2213805,0.93360007,0.92910004
41,2100,0.22121644,0.2017827,0.93720007,0.93430007
42,2150,0.23044021,0.20136987,0.92640007,0.93670005
43,2200,0.2060692,0.17982544,0.93280005,0.947
44,2250,0.18864083,0.17955513,0.9416,0.94540006
45,2300,0.17327617,0.16933034,0.94760007,0.94650006
46,2350,0.14762321,0.16404207,0.95280004,0.9487001
47,2400,0.1310018,0.19410004,0.9624,0.9394
48,2450,0.15529396,0.16558684,0.95400006,0.9488
49,2500,0.15285113,0.15705143,0.9552,0.95190006
50,2550,0.17422773,0.15467122,0.94680005,0.95220006
51,2600,0.16719034,0.15707254,0.94640005,0.9523001
52,2650,0.16003188,0.16755083,0.9444001,0.94680005
53,2700,0.18551366,0.15178847,0.9408001,0.9527
54,2750,0.17251119,0.15038843,0.94720006,0.9527
55,2800,0.14113592,0.14912374,0.95680004,0.9549
56,2850,0.1442216,0.14847177,0.96000004,0.9545
57,2900,0.15122785,0.14777541,0.9556,0.95510006
58,2950,0.15100436,0.14703849,0.95080006,0.9552
59,3000,0.15695049,0.14728297,0.9493877,0.95580006
