,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.13577,1.6821525,0.20196079,0.38790002
1,100,1.1336756,0.8577143,0.60080004,0.71120006
2,150,0.7241045,0.64478207,0.77040005,0.8004
3,200,0.6403254,0.6102416,0.794,0.8184
4,250,0.53900194,0.64202183,0.8284,0.80270004
5,300,0.55080014,0.5234707,0.81640005,0.82960004
6,350,0.507041,0.5173194,0.8388,0.8482
7,400,0.43742105,0.57240653,0.86120003,0.81430006
8,450,0.4458927,0.49558312,0.8672,0.8554
9,500,0.49951732,0.5159604,0.84520006,0.83640003
10,550,0.49415573,0.6270899,0.85440004,0.8033
11,600,0.517044,0.4464043,0.84400004,0.86190003
12,650,0.562992,0.5016976,0.83040005,0.83650005
13,700,0.37993178,0.37369093,0.87960005,0.8805
14,750,0.3579561,0.41646194,0.89480007,0.87060004
15,800,0.48158565,0.48354942,0.86200005,0.8579
16,850,0.39879552,0.3602543,0.8848,0.8852
17,900,0.43325174,0.45364314,0.86880004,0.86450005
18,950,0.38158634,0.31674188,0.88560003,0.89970005
19,1000,0.39414448,0.4006641,0.88000005,0.87520003
20,1050,0.39413634,0.30751118,0.87640005,0.9118
21,1100,0.35450804,0.3492099,0.89320004,0.8917
22,1150,0.2638581,0.32849455,0.91080004,0.90500003
23,1200,0.25957328,0.4902011,0.9308,0.85710007
24,1250,0.3575411,0.32070053,0.88920003,0.89970005
25,1300,0.2857561,0.2964616,0.91480005,0.9103
26,1350,0.32057372,0.30574968,0.90840006,0.9067
27,1400,0.33513916,0.3068912,0.8956,0.90860003
28,1450,0.32626686,0.34043494,0.90200007,0.88780004
29,1500,0.36465007,0.25998282,0.88440007,0.9233
30,1550,0.31245354,0.27129948,0.91040003,0.91780007
31,1600,0.25993606,0.29050654,0.92,0.9168
32,1650,0.3037634,0.32226706,0.91400003,0.9021
33,1700,0.28598797,0.29843277,0.91880006,0.91
34,1750,0.30800563,0.30295038,0.91040003,0.90730006
35,1800,0.3042098,0.26637375,0.9096,0.9161
36,1850,0.35534087,0.37128305,0.896,0.88940006
37,1900,0.29482567,0.28962424,0.90880007,0.91340005
38,1950,0.27375567,0.34130695,0.91240007,0.89040005
39,2000,0.31399497,0.27256045,0.9096,0.91690004
40,2050,0.27534598,0.27512017,0.91760004,0.91990006
41,2100,0.3076011,0.31149358,0.91040003,0.8999
42,2150,0.30166745,0.2551044,0.9024,0.92090005
43,2200,0.3001206,0.26692265,0.90880007,0.915
44,2250,0.28986275,0.2689487,0.91120005,0.91700006
45,2300,0.27535737,0.26029646,0.91840005,0.9171001
46,2350,0.21935222,0.2727815,0.9276,0.91920006
47,2400,0.19854899,0.30306572,0.9444001,0.90650004
48,2450,0.2596105,0.2855462,0.91800004,0.91740006
49,2500,0.21989727,0.2401996,0.9312,0.9276
50,2550,0.27938944,0.25587854,0.91520005,0.9197
51,2600,0.26956,0.25644732,0.92280006,0.91910005
52,2650,0.25881454,0.25821117,0.92,0.91670007
53,2700,0.29054993,0.22171672,0.90880007,0.9333
54,2750,0.25986642,0.23873419,0.9268001,0.9218
55,2800,0.23381099,0.29174224,0.92520005,0.9146
56,2850,0.24417749,0.25257948,0.92960006,0.9251
57,2900,0.23919094,0.21844353,0.9312,0.93380004
58,2950,0.223981,0.24064168,0.93200004,0.92480004
59,3000,0.24864028,0.2251489,0.92840004,0.93160003
60,3050,0.285874,0.25463188,0.9096,0.9204
61,3100,0.20183972,0.2511843,0.9412,0.9207001
62,3150,0.23240541,0.24638301,0.92920005,0.92230004
63,3200,0.25620827,0.22928548,0.92800003,0.92980003
64,3250,0.2219792,0.20643023,0.93000007,0.9355
65,3300,0.2364929,0.20391336,0.9312,0.9365001
66,3350,0.24930178,0.24008983,0.92640007,0.9247
67,3400,0.24848676,0.21849349,0.9204,0.93450004
68,3450,0.22781256,0.22170198,0.93000007,0.93420005
69,3500,0.2226238,0.21349078,0.9304001,0.9362
70,3550,0.16896316,0.20923379,0.94040006,0.93810004
71,3600,0.140672,0.25646943,0.95760006,0.9243
72,3650,0.22012141,0.19472314,0.9308,0.9401001
73,3700,0.17512493,0.19490333,0.94720006,0.94130003
74,3750,0.21547571,0.20308773,0.93360007,0.93790007
75,3800,0.2269267,0.20574258,0.9312,0.93380004
76,3850,0.19599207,0.20746721,0.9344,0.9387
77,3900,0.2219442,0.19954793,0.93160003,0.9369
78,3950,0.2178084,0.21355079,0.93600005,0.93420005
79,4000,0.18809955,0.20588835,0.94280005,0.9358
80,4050,0.19390689,0.185527,0.94320005,0.94170004
81,4100,0.17998084,0.17987111,0.94680005,0.9448
82,4150,0.18336105,0.19606496,0.9484,0.93790007
83,4200,0.19533452,0.20494768,0.938,0.93520004
84,4250,0.20779818,0.17657767,0.938,0.9437
85,4300,0.15947628,0.20383869,0.95360005,0.93860006
86,4350,0.1957335,0.18736078,0.94320005,0.94320005
87,4400,0.20249656,0.1912711,0.93960005,0.94060004
88,4450,0.1820121,0.18171003,0.94600004,0.94320005
89,4500,0.18690756,0.17758913,0.9448,0.94350004
