,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,1.6860504,0.88429046,0.41686276,0.7233
1,100,0.64926094,0.589885,0.7996,0.8129
2,150,0.54289824,0.5535855,0.8396,0.8335
3,200,0.48556086,0.3793581,0.8608,0.8902
4,250,0.52920413,0.90058553,0.844,0.7731
5,300,0.6076741,0.6934204,0.8252,0.7934
6,350,0.6000124,0.49562824,0.8348,0.8506
7,400,0.44947177,0.40730625,0.8684,0.8853
8,450,0.40116668,0.44590762,0.8932,0.866
9,500,0.3848279,0.4575679,0.8884,0.8703
10,550,0.36357242,0.33151612,0.8956,0.905
11,600,0.339253,0.29104882,0.8964,0.9147
12,650,0.37442073,0.39324915,0.8924,0.8687
13,700,0.30323473,0.25308886,0.9068,0.9263
14,750,0.2903076,0.3510715,0.916,0.8904
15,800,0.3239922,0.26934278,0.9028,0.9167
16,850,0.25497732,0.38347027,0.9236,0.8811
17,900,0.26852426,0.21263246,0.92,0.9369
18,950,0.25288257,0.20960651,0.9276,0.9352
19,1000,0.26178086,0.27570125,0.9144,0.9153
20,1050,0.24170262,0.21711811,0.9252,0.9378
21,1100,0.2509996,0.2221015,0.9272,0.9358
22,1150,0.20008536,0.21329664,0.9356,0.9376
23,1200,0.15878943,0.25221127,0.9552,0.9233
24,1250,0.21373686,0.16855544,0.942,0.9508
25,1300,0.16726895,0.3281809,0.9524,0.9029
26,1350,0.20257604,0.17340031,0.9336,0.9455
27,1400,0.18953028,0.193616,0.9444,0.9416
28,1450,0.18309736,0.17633079,0.9456,0.9442
29,1500,0.17953993,0.17946999,0.948,0.9478
30,1550,0.19423394,0.1391659,0.9404,0.9595
31,1600,0.14578408,0.13772343,0.952,0.9567
32,1650,0.15365976,0.17149103,0.9548,0.9459
33,1700,0.15349321,0.18879318,0.9524,0.9461
34,1750,0.16597939,0.14979495,0.9508,0.9584
35,1800,0.13832529,0.14112283,0.954,0.9577
36,1850,0.160631,0.14385672,0.952,0.9578
37,1900,0.112560846,0.13475658,0.9672,0.9584
38,1950,0.14206064,0.11070898,0.9596,0.9656
39,2000,0.13816425,0.114466816,0.9552,0.9638
40,2050,0.12481022,0.107726805,0.9572,0.9672
41,2100,0.1062624,0.1030392,0.9688,0.968
42,2150,0.12311299,0.124208786,0.9584,0.9608
43,2200,0.11314769,0.11339321,0.9616,0.9649
44,2250,0.11461562,0.09813742,0.9692,0.9711
45,2300,0.1230321,0.093068436,0.9648,0.9715
46,2350,0.083238386,0.08969596,0.974,0.9704
47,2400,0.06588458,0.08861719,0.984,0.9714
48,2450,0.09120714,0.085434236,0.9728,0.9744
49,2500,0.077098384,0.08214276,0.976,0.9742
50,2550,0.089451306,0.08098756,0.972,0.9733
51,2600,0.07953444,0.08025588,0.974,0.9738
52,2650,0.08824893,0.085615784,0.976,0.973
53,2700,0.0890204,0.07368765,0.974,0.9767
54,2750,0.07837736,0.072832845,0.976,0.9768
55,2800,0.074009955,0.07003928,0.978,0.9765
56,2850,0.07284698,0.06963152,0.978,0.9783
57,2900,0.0663415,0.06979747,0.9808,0.978
58,2950,0.08192273,0.06899416,0.9764,0.9779
59,3000,0.06880571,0.06977478,0.9820408,0.9782
