,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.1281383,1.6514767,0.2027451,0.42510003
1,100,1.2259277,1.0954064,0.5844,0.6283
2,150,0.96058995,1.0010206,0.6848,0.6617
3,200,0.8837159,0.9856539,0.708,0.69200003
4,250,0.9405275,0.9022061,0.69240004,0.6901
5,300,0.90928465,0.8036961,0.70280004,0.7195
6,350,0.83408,0.7972926,0.72400004,0.72480005
7,400,0.75893456,0.6579415,0.74480003,0.7828
8,450,0.68616754,0.76899993,0.7904,0.73690003
9,500,0.7018223,0.7543106,0.77400005,0.7487
10,550,0.6795771,0.6108982,0.77480006,0.80770004
11,600,0.6091356,0.49473697,0.80960006,0.83390003
12,650,0.6240159,0.6012908,0.79600006,0.79700005
13,700,0.49967623,0.5201164,0.8392,0.8353
14,750,0.55391854,0.60595703,0.83320004,0.809
15,800,0.58210707,0.52810144,0.80520004,0.82820004
16,850,0.5336897,0.5654805,0.83280003,0.79990005
17,900,0.48261192,0.5223405,0.84920007,0.82580006
18,950,0.5542931,0.48654655,0.82320005,0.8406
19,1000,0.5120728,0.40920818,0.8352,0.86520004
20,1050,0.43266883,0.4144804,0.86120003,0.86210006
21,1100,0.42048746,0.44266945,0.87240005,0.8582
22,1150,0.3837531,0.4045526,0.87000006,0.8723
23,1200,0.3302279,0.50616544,0.90160006,0.84630007
24,1250,0.40636098,0.42069277,0.8776,0.86380005
25,1300,0.3824627,0.43206125,0.88280004,0.86010003
26,1350,0.4254272,0.38875076,0.87680006,0.88490003
27,1400,0.4376866,0.43862823,0.8676,0.86020005
28,1450,0.42432064,0.37885138,0.86120003,0.87770003
29,1500,0.44951642,0.36323044,0.85920006,0.88600004
30,1550,0.43645087,0.40644068,0.8744,0.8704001
31,1600,0.36943695,0.35451344,0.89480007,0.8827
32,1650,0.3611396,0.32617298,0.8956,0.90180004
33,1700,0.33307704,0.32175082,0.8924,0.9003
34,1750,0.3378768,0.32242987,0.8956,0.90090007
35,1800,0.35196057,0.31090176,0.89640003,0.9028
36,1850,0.39456707,0.36554426,0.87520003,0.88250005
37,1900,0.30656233,0.29743993,0.90400004,0.9085
38,1950,0.32988665,0.32132292,0.896,0.90190005
39,2000,0.35019553,0.30086863,0.88920003,0.9089
40,2050,0.30920509,0.33193845,0.90680003,0.8927
41,2100,0.33627647,0.3511933,0.90080005,0.8863
42,2150,0.33718628,0.3056995,0.89400005,0.90400004
43,2200,0.37142116,0.30103502,0.88560003,0.9039
44,2250,0.31596756,0.28602183,0.89640003,0.9114
45,2300,0.30946195,0.27928752,0.90440005,0.91120005
46,2350,0.25762078,0.2725587,0.92120004,0.91300005
47,2400,0.21567482,0.29780784,0.93640006,0.90550005
48,2450,0.3069134,0.26477164,0.91040003,0.91580003
49,2500,0.24971731,0.2707136,0.91960007,0.915
50,2550,0.2996698,0.2660213,0.90880007,0.9175
51,2600,0.30140215,0.26517984,0.90720004,0.91990006
52,2650,0.2848055,0.26556748,0.91400003,0.9168
53,2700,0.32599005,0.24969673,0.90320003,0.92300004
54,2750,0.30562824,0.24967194,0.91520005,0.92300004
55,2800,0.24631426,0.24638525,0.9276,0.9229
56,2850,0.24684617,0.24684556,0.9276,0.9225
57,2900,0.22840399,0.2459706,0.93000007,0.92340004
58,2950,0.2485268,0.2462017,0.9204,0.9232001
59,3000,0.2612181,0.24599205,0.9191837,0.92210007
