,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,1.6894047,0.92691565,0.41764706,0.73270005
1,100,0.67973626,0.9336022,0.80240005,0.72330004
2,150,0.6216173,0.54765075,0.81200004,0.84510005
3,200,0.5304737,0.42972118,0.84560007,0.8697
4,250,0.5068506,0.9360345,0.85560006,0.7684
5,300,0.6037284,0.6097938,0.82600003,0.7972
6,350,0.56119764,0.7460276,0.8392,0.7928
7,400,0.47681373,0.40333197,0.85560006,0.8665
8,450,0.47798407,0.35163197,0.8672,0.89070004
9,500,0.38877556,0.3522121,0.87920004,0.89040005
10,550,0.39837217,0.41566184,0.87560004,0.86670005
11,600,0.39614144,0.33909476,0.87680006,0.89430004
12,650,0.36102295,0.2646655,0.89040005,0.91840005
13,700,0.2952643,0.32715696,0.9128,0.8917
14,750,0.26774284,0.3247494,0.91480005,0.90320003
15,800,0.29550824,0.48529497,0.90760005,0.85150003
16,850,0.2533574,0.2922463,0.9268001,0.906
17,900,0.27169487,0.2849909,0.91960007,0.90700006
18,950,0.26361212,0.21150367,0.92,0.93390006
19,1000,0.2715973,0.22095063,0.91920006,0.92770004
20,1050,0.25087836,0.18722475,0.9204,0.94100004
21,1100,0.2097252,0.2098011,0.93560004,0.93200004
22,1150,0.19727674,0.15853077,0.938,0.94790006
23,1200,0.14125249,0.30605677,0.96520007,0.8949
24,1250,0.19461343,0.17990735,0.94600004,0.94000006
25,1300,0.17701301,0.19536908,0.9452,0.93670005
26,1350,0.19729334,0.1756786,0.94240004,0.94390005
27,1400,0.18658067,0.14927372,0.93880004,0.95350003
28,1450,0.15541586,0.18745902,0.9524,0.94180006
29,1500,0.16710563,0.15345591,0.95000005,0.9534
30,1550,0.18567646,0.14635609,0.94240004,0.95440006
31,1600,0.14568758,0.153703,0.95760006,0.94960004
32,1650,0.15386012,0.13389035,0.95120007,0.95890003
33,1700,0.15914187,0.13673215,0.9516001,0.95470005
34,1750,0.14762431,0.12261673,0.95720005,0.961
35,1800,0.130448,0.1431618,0.95640004,0.95370007
36,1850,0.13489722,0.12440056,0.95600003,0.9628
37,1900,0.12146672,0.11701018,0.966,0.96370006
38,1950,0.12487364,0.10415702,0.96520007,0.96660006
39,2000,0.11926813,0.12383104,0.96000004,0.96150005
40,2050,0.108761705,0.11113289,0.96680003,0.96230006
41,2100,0.112730436,0.09986384,0.96800005,0.96680003
42,2150,0.12675494,0.096986234,0.96080005,0.96970004
43,2200,0.11142448,0.097750835,0.96680003,0.9678
44,2250,0.095586605,0.087153986,0.97120005,0.97230005
45,2300,0.09246209,0.080246635,0.9728,0.97360003
46,2350,0.08046695,0.08357734,0.97240007,0.97290003
47,2400,0.07081117,0.08846024,0.98200005,0.97090006
48,2450,0.09122793,0.077664405,0.97240007,0.97420007
49,2500,0.079764314,0.0724999,0.9764,0.97580004
50,2550,0.083987474,0.070146285,0.9728,0.9775
51,2600,0.07337439,0.07187507,0.97480005,0.97740006
52,2650,0.07416622,0.077686206,0.97800004,0.97420007
53,2700,0.075361736,0.066130504,0.9804,0.9786
54,2750,0.06280644,0.065170236,0.97840005,0.97840005
55,2800,0.06566945,0.06321382,0.97920007,0.9797
56,2850,0.064892344,0.06294807,0.9796001,0.97950006
57,2900,0.06853728,0.062706485,0.9760001,0.9797
58,2950,0.07907213,0.061814502,0.9764,0.98020005
59,3000,0.056838904,0.061909735,0.9812245,0.97980005
