,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.1912549,1.8274447,0.18941176,0.33850002
1,100,1.340082,0.9978578,0.55520004,0.65250003
2,150,0.81969815,0.79947066,0.734,0.7588
3,200,0.73243016,0.62075293,0.77480006,0.79670006
4,250,0.6141348,0.64404815,0.80560005,0.78740007
5,300,0.68226683,0.49605677,0.77680004,0.8313
6,350,0.57638425,0.47543573,0.82640004,0.85400003
7,400,0.5468357,0.68994856,0.82960004,0.78610003
8,450,0.6745934,0.55781144,0.78880006,0.82620007
9,500,0.62113774,0.49187538,0.8,0.84300005
10,550,0.5383554,0.54195976,0.83440006,0.8334
11,600,0.54451126,0.5370847,0.8388,0.83900005
12,650,0.597188,0.59445345,0.82640004,0.8176
13,700,0.49965575,0.45089334,0.8564,0.85190004
14,750,0.44298825,0.5316037,0.874,0.84290004
15,800,0.52915,0.6013114,0.82720006,0.81920004
16,850,0.46683347,0.47053576,0.8644,0.84910005
17,900,0.46011007,0.4494152,0.8676,0.86480004
18,950,0.44128317,0.3706368,0.86960006,0.8859
19,1000,0.44633946,0.4027479,0.86480004,0.8769
20,1050,0.44549185,0.46486637,0.8676,0.85330003
21,1100,0.4157721,0.44054446,0.87920004,0.86620003
22,1150,0.3186353,0.3637413,0.89760005,0.89110005
23,1200,0.28997532,0.46532333,0.92,0.86550003
24,1250,0.38421816,0.39306343,0.89120007,0.8744
25,1300,0.3241529,0.34872994,0.90880007,0.89710003
26,1350,0.402943,0.35031044,0.88400006,0.897
27,1400,0.3724579,0.3829704,0.882,0.88580006
28,1450,0.42442706,0.5525404,0.87680006,0.84370005
29,1500,0.4173627,0.33440006,0.8776,0.89790004
30,1550,0.36300194,0.35810265,0.89360005,0.88930005
31,1600,0.3547982,0.34264067,0.9056001,0.8963
32,1650,0.3548527,0.41829947,0.89040005,0.8801001
33,1700,0.37818652,0.35367808,0.88400006,0.89570004
34,1750,0.33567688,0.34599724,0.90200007,0.89180005
35,1800,0.3690338,0.3596538,0.8884,0.8899
36,1850,0.4118981,0.3158518,0.8812,0.90440005
37,1900,0.31425852,0.35456672,0.90840006,0.89220005
38,1950,0.31463316,0.34019253,0.90760005,0.8999
39,2000,0.32759163,0.3486286,0.8988,0.89070004
40,2050,0.38504356,0.379539,0.88600004,0.88510007
41,2100,0.36707076,0.3389432,0.90040004,0.8942
42,2150,0.36414096,0.30136704,0.8956,0.90770006
43,2200,0.35011214,0.32262412,0.8952,0.90040004
