,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,1.979709,1.2761021,0.2980392,0.5604
1,100,0.83464813,0.73849463,0.7304,0.7487
2,150,0.6338352,0.54090524,0.8072,0.8417
3,200,0.6107211,0.5267117,0.8144,0.82820004
4,250,0.6254387,0.9323859,0.82720006,0.73730004
5,300,0.7536086,0.71157515,0.772,0.79240006
6,350,0.53010416,0.39407542,0.84360003,0.87850004
7,400,0.4157414,0.45049927,0.87520003,0.8669
8,450,0.4260204,0.46583232,0.88080007,0.86600006
9,500,0.41168684,0.4213144,0.88040006,0.8755
10,550,0.38252354,0.36356226,0.892,0.88740003
11,600,0.3614882,0.40741843,0.89360005,0.88080007
12,650,0.4121107,0.3433726,0.8816,0.8927
13,700,0.30139035,0.38205582,0.9028,0.88650006
14,750,0.34886366,0.40032026,0.90160006,0.87200004
15,800,0.4026393,0.35144454,0.878,0.89750004
16,850,0.3207072,0.31350347,0.90360004,0.90410006
17,900,0.29784238,0.31016785,0.9136,0.906
18,950,0.315555,0.34801993,0.90440005,0.8927
19,1000,0.33963507,0.28433037,0.89080006,0.91050005
20,1050,0.29289004,0.25633052,0.91240007,0.9233
21,1100,0.28427988,0.2745697,0.91040003,0.9168
22,1150,0.23129958,0.23562664,0.92600006,0.9297
23,1200,0.1921857,0.40051767,0.9412,0.87890005
24,1250,0.26425427,0.21395795,0.92480004,0.9355
25,1300,0.20648879,0.26539534,0.93640006,0.91660005
26,1350,0.25321913,0.21425748,0.92960006,0.9337
27,1400,0.24772735,0.21357736,0.9308,0.9344
28,1450,0.26807338,0.23718603,0.92120004,0.92950004
29,1500,0.25503212,0.22180088,0.924,0.93570006
30,1550,0.23147978,0.2175017,0.92920005,0.93250006
31,1600,0.20030355,0.23377423,0.9416,0.9269
32,1650,0.21653272,0.17974482,0.9412,0.94540006
33,1700,0.19661531,0.18939453,0.9416,0.94220006
34,1750,0.18901902,0.18876839,0.9452,0.9434
35,1800,0.18527046,0.23469536,0.93840003,0.93000007
36,1850,0.19037183,0.17004156,0.94240004,0.94780004
37,1900,0.15323792,0.15546116,0.95600003,0.95280004
38,1950,0.18650909,0.14775237,0.94920003,0.9542
39,2000,0.18035848,0.155506,0.94400007,0.95330006
40,2050,0.1597257,0.15829034,0.95360005,0.95150006
41,2100,0.16366184,0.15897839,0.95080006,0.9495
42,2150,0.17577784,0.17748158,0.94760007,0.94690007
43,2200,0.192476,0.17628086,0.9376,0.9426001
44,2250,0.19375987,0.14161311,0.94280005,0.95500004
45,2300,0.15558259,0.12949474,0.95440006,0.96070004
46,2350,0.12339207,0.13095258,0.96120006,0.95940006
47,2400,0.10372327,0.12964854,0.9764,0.95790005
48,2450,0.1373112,0.12945212,0.9584001,0.96080005
49,2500,0.12585466,0.12466755,0.96360004,0.96190006
50,2550,0.13120617,0.12373752,0.96360004,0.96190006
51,2600,0.14226972,0.12366176,0.96000004,0.9628
52,2650,0.13051455,0.13499436,0.95760006,0.95820004
53,2700,0.14107318,0.11752459,0.95760006,0.96410006
54,2750,0.117729925,0.11627053,0.9664,0.9649
55,2800,0.11173485,0.114676386,0.96880007,0.96550006
56,2850,0.123545475,0.11404137,0.96480006,0.9649
57,2900,0.09977811,0.11395441,0.97,0.9649
58,2950,0.12915798,0.11338515,0.96160007,0.96450007
59,3000,0.11183907,0.113122314,0.96244895,0.96540004
