,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.0870361,1.5156949,0.2564706,0.50100005
1,100,0.90159345,0.7680044,0.712,0.7763
2,150,0.6001225,0.5708908,0.80880004,0.82280004
3,200,0.55165577,0.4486802,0.83640003,0.8597
4,250,0.44787905,0.5223669,0.86800003,0.84260005
5,300,0.51005876,0.49162805,0.84480006,0.8611
6,350,0.45820045,0.39420852,0.8712,0.87780005
7,400,0.44185305,0.4814096,0.87680006,0.86600006
8,450,0.50169605,0.5108564,0.84720004,0.84440005
9,500,0.52955955,0.49154833,0.8432,0.84790003
10,550,0.5167607,0.4764463,0.84400004,0.85800004
11,600,0.45481518,0.42840144,0.8636,0.85850006
12,650,0.41339618,0.4402158,0.88040006,0.87710005
13,700,0.36007857,0.32179186,0.89000005,0.9031
14,750,0.3301076,0.35650724,0.8924,0.8949
15,800,0.34115165,0.39052385,0.89720005,0.87640005
16,850,0.296993,0.35030964,0.91440004,0.9057
17,900,0.31752348,0.40157512,0.90760005,0.87750006
18,950,0.298919,0.27268898,0.90880007,0.9182
19,1000,0.2680382,0.32085106,0.9132,0.89970005
20,1050,0.24990226,0.22030112,0.9304001,0.93240005
21,1100,0.22857618,0.26152262,0.9376,0.9172
22,1150,0.18862118,0.22643737,0.94320005,0.93360007
23,1200,0.2087771,0.34522986,0.94680005,0.89460003
24,1250,0.25878164,0.24151206,0.92520005,0.92450005
25,1300,0.21146587,0.21948607,0.93640006,0.9333
26,1350,0.2502921,0.19917865,0.92560005,0.93770003
27,1400,0.22664616,0.17246418,0.92640007,0.94360006
28,1450,0.21523193,0.23405671,0.92800003,0.92730004
29,1500,0.21240877,0.19282527,0.9408001,0.94030005
30,1550,0.20878993,0.1525791,0.93880004,0.9563
31,1600,0.18166883,0.1713749,0.94560003,0.9408001
32,1650,0.21214207,0.19437988,0.934,0.94150007
33,1700,0.20259139,0.18151172,0.94040006,0.94500005
34,1750,0.19895312,0.19562145,0.93960005,0.93740004
35,1800,0.1860457,0.15963766,0.9412,0.94900006
36,1850,0.19183931,0.22455852,0.94040006,0.93320006
37,1900,0.18473537,0.15275599,0.94640005,0.9534
38,1950,0.18948017,0.22656737,0.94400007,0.9337
39,2000,0.19250494,0.14573978,0.93920004,0.95510006
40,2050,0.19029135,0.1870781,0.94960004,0.94040006
41,2100,0.18757841,0.19906549,0.9412,0.93780005
42,2150,0.18140835,0.22888122,0.94640005,0.93230003
43,2200,0.21445842,0.18333654,0.93680006,0.93970007
44,2250,0.18287383,0.13870668,0.94600004,0.95790005
45,2300,0.18289138,0.1399635,0.9448,0.95430005
46,2350,0.1471354,0.1364714,0.9524,0.9577001
47,2400,0.095274724,0.22248502,0.97,0.9286001
48,2450,0.17396249,0.13773692,0.95040005,0.9549
49,2500,0.15360455,0.14248481,0.9552,0.95430005
50,2550,0.20014432,0.13874236,0.94040006,0.95640004
51,2600,0.16051193,0.16807416,0.952,0.94570005
52,2650,0.15022169,0.15570526,0.9516001,0.95000005
53,2700,0.15631713,0.13199063,0.952,0.95870006
54,2750,0.17797042,0.12222659,0.9452,0.96070004
55,2800,0.1277198,0.12077182,0.96440005,0.9621
56,2850,0.15193984,0.1501721,0.96080005,0.95070004
57,2900,0.13250875,0.12427876,0.96320003,0.96160007
58,2950,0.17100044,0.14912806,0.94760007,0.95190006
59,3000,0.13869049,0.118176475,0.95360005,0.9638001
60,3050,0.15991168,0.1480962,0.95480007,0.95500004
61,3100,0.11930432,0.14512086,0.9620001,0.9563
62,3150,0.16148897,0.13143198,0.9556,0.9574
63,3200,0.15070555,0.14530714,0.95280004,0.95300007
64,3250,0.15932648,0.1271867,0.9524,0.9617
65,3300,0.14235394,0.13660744,0.96000004,0.95620006
