,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.2794654,1.9696982,0.13607843,0.31070003
1,100,1.392592,1.1737511,0.5192,0.5798
2,150,1.0274001,1.0217389,0.648,0.63570005
3,200,0.8959611,0.7197327,0.6944,0.76500005
4,250,0.7473303,0.71936905,0.762,0.76650006
5,300,0.8150439,0.6356645,0.7368,0.79370004
6,350,0.7530379,0.7353794,0.776,0.75860006
7,400,0.63383836,0.63210106,0.79600006,0.7979
8,450,0.65420973,0.7081804,0.7964,0.77830005
9,500,0.6850925,0.6851202,0.78880006,0.79580003
10,550,0.66123724,0.8000519,0.7868,0.7648
11,600,0.7062217,0.6434668,0.78440005,0.80960006
12,650,0.7919836,0.6934559,0.7648,0.76180005
13,700,0.6271067,0.56386745,0.80240005,0.82350004
14,750,0.5644242,0.776871,0.8316,0.7368
15,800,0.5849066,0.6381012,0.818,0.79260004
16,850,0.610213,0.58978164,0.81000006,0.81710005
17,900,0.5930841,0.52977604,0.8112,0.82830006
18,950,0.5443787,0.5273047,0.84120005,0.83930004
19,1000,0.55507565,0.5805712,0.8184,0.82150006
20,1050,0.5401873,0.53649753,0.82360005,0.83800006
21,1100,0.54645795,0.6307421,0.84120005,0.80880004
22,1150,0.49282837,0.4852592,0.84200007,0.84860003
23,1200,0.3974841,0.6668133,0.8744,0.80560005
24,1250,0.5267726,0.49670717,0.84200007,0.8327
25,1300,0.52390313,0.6198396,0.84040004,0.78760004
26,1350,0.4812151,0.4310884,0.85480005,0.8697
27,1400,0.48279127,0.47672996,0.8528,0.85150003
28,1450,0.4548542,0.45887718,0.86200005,0.85920006
29,1500,0.5109596,0.40388685,0.84800005,0.88110006
30,1550,0.49087447,0.39762527,0.85040003,0.8823
31,1600,0.43651694,0.4603491,0.86840004,0.86010003
32,1650,0.45106083,0.48476538,0.86520004,0.85300004
33,1700,0.45540342,0.42963463,0.86480004,0.87060004
34,1750,0.44728667,0.44311795,0.8636,0.8643
35,1800,0.48174497,0.4515827,0.85,0.86800003
36,1850,0.5269767,0.48146492,0.83480006,0.8496
37,1900,0.43304974,0.40015727,0.87000006,0.87810004
38,1950,0.45982164,0.49475256,0.86520004,0.855
39,2000,0.48339835,0.42194462,0.84400004,0.87160003
40,2050,0.4148832,0.38378543,0.86920005,0.88720006
41,2100,0.42795828,0.37237918,0.8744,0.88720006
42,2150,0.47331986,0.4269527,0.85200006,0.86680007
43,2200,0.44786108,0.45780945,0.87000006,0.8607
44,2250,0.46556422,0.38501275,0.85440004,0.8848
