,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.2190623,1.8667326,0.1827451,0.3158
1,100,1.3439376,1.0707054,0.5436,0.6359
2,150,0.90071625,0.990377,0.69640005,0.66870004
3,200,1.0066831,0.8776221,0.656,0.70070004
4,250,0.8305321,0.8059496,0.7292,0.73990005
5,300,0.903043,0.876005,0.69600004,0.69850004
6,350,0.80003476,0.76387113,0.7408,0.73450005
7,400,0.72724956,0.70690596,0.77080005,0.7771
8,450,0.7189021,0.6866346,0.7612,0.78580004
9,500,0.7257609,0.73496,0.754,0.7404
10,550,0.75510406,0.8872077,0.7436,0.7002
11,600,0.72243124,0.63877034,0.7716,0.794
12,650,0.6922339,0.56983423,0.7764,0.82280004
13,700,0.5084468,0.54550236,0.84440005,0.83280003
14,750,0.51420903,0.57246685,0.83680004,0.8141
15,800,0.57262,0.6714877,0.814,0.78510004
16,850,0.53828347,0.6171627,0.82760006,0.79850006
17,900,0.47764596,0.5282328,0.84800005,0.83500004
18,950,0.47914675,0.4017126,0.85,0.88140005
19,1000,0.48527363,0.5258071,0.85480005,0.83010006
20,1050,0.46025997,0.49849632,0.8568,0.83800006
21,1100,0.47707403,0.4069191,0.85040003,0.8726
22,1150,0.35743815,0.4939076,0.88720006,0.85630006
23,1200,0.3370092,0.48107123,0.90840006,0.8564
24,1250,0.44272578,0.49376372,0.87000006,0.85150003
25,1300,0.42569533,0.525342,0.8812,0.84400004
26,1350,0.4339422,0.44584295,0.87240005,0.8704001
27,1400,0.42946136,0.4482057,0.87000006,0.8665
28,1450,0.42690712,0.4429632,0.87000006,0.85170007
29,1500,0.46035466,0.41092142,0.85080004,0.87070006
30,1550,0.41112858,0.36053595,0.87680006,0.89390004
31,1600,0.37339577,0.42882335,0.89120007,0.874
32,1650,0.38936266,0.4242865,0.88720006,0.8654
33,1700,0.39399046,0.39603695,0.8784,0.88280004
34,1750,0.35632098,0.4244464,0.89040005,0.8719
35,1800,0.41634846,0.47127864,0.8708,0.85450006
36,1850,0.44516623,0.40939304,0.8604,0.87450004
37,1900,0.3447973,0.3896548,0.8996,0.88210005
38,1950,0.40248182,0.51225406,0.874,0.83370006
39,2000,0.4460812,0.3656276,0.86560005,0.89000005
40,2050,0.3783575,0.43936157,0.89000005,0.8633
41,2100,0.38217047,0.44725746,0.8848,0.86350006
42,2150,0.38133395,0.34416255,0.8924,0.90250003
43,2200,0.39094794,0.3870517,0.8848,0.87930006
44,2250,0.39058742,0.4413008,0.87720007,0.864
45,2300,0.3837749,0.35473648,0.8880001,0.88920003
46,2350,0.31220123,0.40164983,0.90880007,0.87350005
47,2400,0.2939823,0.3736074,0.91400003,0.88920003
48,2450,0.38275173,0.39337477,0.89040005,0.88260007
49,2500,0.37166277,0.34892547,0.89320004,0.90190005
50,2550,0.3965621,0.39450142,0.8776,0.8881
51,2600,0.40145332,0.40095174,0.88720006,0.87360007
52,2650,0.36787644,0.34385806,0.88720006,0.89680004
53,2700,0.38906124,0.3881092,0.88320005,0.88170004
54,2750,0.3701189,0.31293854,0.89400005,0.9056001
55,2800,0.35525465,0.47294983,0.89400005,0.8539
56,2850,0.3514492,0.352343,0.8996,0.89800006
57,2900,0.41485488,0.3990679,0.87320006,0.87560004
58,2950,0.3844434,0.36108252,0.88440007,0.89390004
59,3000,0.3506377,0.3375214,0.89120007,0.89650005
60,3050,0.4017922,0.3589381,0.87880003,0.89080006
61,3100,0.30873567,0.31553465,0.91,0.90590006
62,3150,0.34090796,0.3634997,0.89680004,0.88760006
63,3200,0.3760916,0.33797058,0.89000005,0.89620006
64,3250,0.36379322,0.35512283,0.8916,0.89480007
65,3300,0.3565383,0.3516356,0.8916,0.89650005
66,3350,0.3642182,0.3379661,0.89360005,0.90080005
67,3400,0.398198,0.3640189,0.88280004,0.89050007
68,3450,0.36059427,0.34242168,0.88920003,0.89570004
69,3500,0.3438688,0.3192986,0.89760005,0.9038001
70,3550,0.30486664,0.3497662,0.906,0.89210004
71,3600,0.24560636,0.35849524,0.92880005,0.89370006
72,3650,0.34734946,0.37181175,0.90480006,0.8852
73,3700,0.29063118,0.35338005,0.9204,0.89440006
74,3750,0.34898737,0.31560236,0.89800006,0.90620005
75,3800,0.3256865,0.31100237,0.9064,0.91
76,3850,0.32953104,0.3265865,0.8996,0.90040004
77,3900,0.3484402,0.3426284,0.89400005,0.89720005
78,3950,0.35820928,0.29882395,0.90000004,0.9128
79,4000,0.3089047,0.3435756,0.91080004,0.8985
80,4050,0.31203753,0.3168451,0.90800005,0.9082
81,4100,0.3345605,0.3055693,0.90480006,0.9132
82,4150,0.31631693,0.31006142,0.90760005,0.9085
83,4200,0.31930453,0.31486464,0.90200007,0.9038001
84,4250,0.38088384,0.3414435,0.88360006,0.89890003
85,4300,0.2865791,0.28154683,0.91200006,0.91850007
86,4350,0.31044436,0.30857372,0.90120006,0.9071
87,4400,0.3334284,0.28992644,0.9024,0.91470003
88,4450,0.31632894,0.2984981,0.90480006,0.91290003
89,4500,0.30325693,0.29802266,0.9056001,0.91170007
90,4550,0.3381389,0.2900043,0.896,0.91670007
91,4600,0.33043933,0.29964665,0.90120006,0.91120005
92,4650,0.31180462,0.2763014,0.91080004,0.92080003
93,4700,0.29908362,0.28079042,0.91160005,0.9179
94,4750,0.2450353,0.28042927,0.9272,0.91780007
95,4800,0.21868134,0.32094142,0.9448,0.90190005
96,4850,0.29313183,0.28533626,0.9204,0.91950005
97,4900,0.25387993,0.2825457,0.92880005,0.91980004
98,4950,0.30005398,0.27663448,0.91960007,0.92090005
99,5000,0.2934724,0.2803531,0.91480005,0.91940004
100,5050,0.26460603,0.2892854,0.91960007,0.9135001
101,5100,0.30506197,0.27979517,0.91520005,0.92080003
102,5150,0.2961859,0.27322283,0.91,0.91810006
103,5200,0.27049902,0.27445486,0.9204,0.92030007
104,5250,0.26148137,0.26830003,0.92640007,0.9225
105,5300,0.27763724,0.2668382,0.91800004,0.92410004
106,5350,0.2855595,0.27424356,0.91760004,0.92170006
107,5400,0.2689243,0.26313606,0.91760004,0.92240006
108,5450,0.32687163,0.26482716,0.90760005,0.9236
109,5500,0.23553857,0.26181668,0.92800003,0.92370003
110,5550,0.2694902,0.2665674,0.91880006,0.92090005
111,5600,0.28455383,0.26245373,0.92240006,0.92300004
112,5650,0.29158598,0.2612924,0.91120005,0.92410004
113,5700,0.26327112,0.26145095,0.9204,0.92480004
114,5750,0.30405128,0.26175886,0.9092001,0.9251
115,5800,0.30276316,0.26005632,0.90680003,0.92450005
116,5850,0.26592907,0.25998676,0.9236,0.9265
117,5900,0.2681369,0.26080674,0.9172,0.92410004
118,5950,0.22783825,0.25945017,0.93640006,0.9261
119,6000,0.20097373,0.2602491,0.94857144,0.92530006
