,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,1.6833893,0.99719906,0.4180392,0.71680003
1,100,0.6990031,0.5777235,0.7964,0.82760006
2,150,0.5574319,0.50154614,0.83440006,0.8618
3,200,0.5778155,0.4707648,0.83440006,0.85960007
4,250,0.58109766,0.7528137,0.83360004,0.7825
5,300,0.56038773,0.44444954,0.82320005,0.87100005
6,350,0.41754252,0.4455753,0.88000005,0.87250006
7,400,0.41050354,0.32719687,0.88960004,0.8959001
8,450,0.37342575,0.30820218,0.89800006,0.90980005
9,500,0.35037994,0.41934887,0.89400005,0.86950004
10,550,0.38085434,0.4082862,0.89440006,0.88530004
11,600,0.40710273,0.36766905,0.88360006,0.88560003
12,650,0.35586002,0.29565942,0.8924,0.90910006
13,700,0.26950994,0.2484099,0.92,0.92100006
14,750,0.27856177,0.4190809,0.91880006,0.8712
15,800,0.32938415,0.34200618,0.9064,0.8898001
16,850,0.25653332,0.26433283,0.92240006,0.9186
17,900,0.25249535,0.2759955,0.924,0.9118
18,950,0.25415254,0.20863912,0.92280006,0.9383001
19,1000,0.24910282,0.29471472,0.92640007,0.90120006
20,1050,0.23334248,0.18856595,0.92520005,0.9437
21,1100,0.24258107,0.21581677,0.92120004,0.9347001
22,1150,0.2023129,0.19991939,0.9348,0.94060004
23,1200,0.18115596,0.25682217,0.95000005,0.92140007
24,1250,0.2168506,0.1721975,0.94040006,0.9452
25,1300,0.16540366,0.17626375,0.95120007,0.94310004
26,1350,0.17620257,0.1632845,0.95000005,0.94940007
27,1400,0.1881924,0.13916288,0.94320005,0.95640004
28,1450,0.20455337,0.18473756,0.93920004,0.94110006
29,1500,0.1917908,0.18495941,0.94640005,0.94150007
30,1550,0.1800593,0.15226127,0.9448,0.95210004
31,1600,0.1504546,0.14296012,0.95720005,0.95390004
32,1650,0.13744989,0.14946696,0.95960003,0.9524
33,1700,0.16139318,0.15363151,0.95120007,0.9509
34,1750,0.16517594,0.17758451,0.95000005,0.9419001
35,1800,0.15003172,0.1251152,0.95000005,0.95860004
36,1850,0.14578713,0.13156746,0.95800006,0.9585
37,1900,0.11057874,0.122167595,0.96520007,0.9620001
38,1950,0.14000107,0.13204066,0.95600003,0.95870006
39,2000,0.12586644,0.12187449,0.95800006,0.96330005
40,2050,0.11500642,0.11715686,0.96160007,0.9635
41,2100,0.11198917,0.12676118,0.97,0.95960003
42,2150,0.14141603,0.12110356,0.95600003,0.96160007
43,2200,0.124678336,0.09877014,0.96040004,0.9674001
44,2250,0.10933809,0.09395924,0.966,0.9696
45,2300,0.115121715,0.086058736,0.96800005,0.97190005
46,2350,0.08817748,0.08741069,0.9732,0.96970004
47,2400,0.07566162,0.08901155,0.98080003,0.97010005
48,2450,0.08996556,0.0863875,0.9728,0.97130007
49,2500,0.08698758,0.07817163,0.97440004,0.9743
50,2550,0.09274164,0.08215472,0.97480005,0.97340006
51,2600,0.087943286,0.08068044,0.97400004,0.97300005
52,2650,0.08684112,0.0880709,0.97,0.9717001
53,2700,0.087203,0.073721506,0.9728,0.97590005
54,2750,0.08058464,0.074320845,0.97480005,0.9761
55,2800,0.073613316,0.071517825,0.97720003,0.9775
56,2850,0.07309323,0.07151839,0.97920007,0.97700006
57,2900,0.07237982,0.07106256,0.9764,0.9775
58,2950,0.08786291,0.070211284,0.9728,0.97700006
59,3000,0.07122313,0.07059185,0.9767347,0.9775
