,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.154882,1.7970413,0.20705882,0.35410002
1,100,1.3122733,0.97917527,0.55560005,0.6743
2,150,0.7769982,0.60373306,0.74560004,0.81650007
3,200,0.63507104,0.5186846,0.80600005,0.83010006
4,250,0.53969663,0.6345236,0.8316,0.8256
5,300,0.66059995,0.56220955,0.7968,0.82500005
6,350,0.5330565,0.36902556,0.8352,0.8827
7,400,0.43903196,0.50584465,0.86600006,0.84190005
8,450,0.48521268,0.39302573,0.84840006,0.87880003
9,500,0.47732943,0.5947606,0.84000003,0.8194
10,550,0.4471577,0.48311466,0.86240005,0.8579
11,600,0.5550921,0.7424266,0.82280004,0.77750003
12,650,0.6341092,0.49050856,0.81520003,0.8406
13,700,0.43084458,0.40946615,0.8704001,0.87490004
14,750,0.46484783,0.48139104,0.85880005,0.85090005
15,800,0.53771377,0.6069919,0.83280003,0.837
16,850,0.4329549,0.45141867,0.86800003,0.8572
17,900,0.42375433,0.37537125,0.87560004,0.8816
18,950,0.39564407,0.32326034,0.87560004,0.89980006
19,1000,0.40582117,0.40734115,0.8708,0.87130004
20,1050,0.38049296,0.42844465,0.88320005,0.85040003
21,1100,0.38360786,0.39040586,0.88080007,0.8823
22,1150,0.29949015,0.33244023,0.90520006,0.89730006
23,1200,0.3078558,0.4829608,0.91160005,0.84250003
24,1250,0.35126993,0.31668133,0.8956,0.90080005
25,1300,0.29508358,0.31322482,0.91160005,0.8988
26,1350,0.34470978,0.26322958,0.8988,0.91950005
27,1400,0.37550348,0.34453762,0.88600004,0.89830005
28,1450,0.35783413,0.46030512,0.896,0.85590005
29,1500,0.41011927,0.29135802,0.87320006,0.91110003
30,1550,0.3276839,0.29578397,0.89720005,0.90680003
31,1600,0.28712457,0.31321868,0.91160005,0.90330005
32,1650,0.33108506,0.33907884,0.9028,0.8956
33,1700,0.36440104,0.3682486,0.8916,0.8906
34,1750,0.2953183,0.28431436,0.9136,0.91480005
35,1800,0.33547512,0.3091039,0.89680004,0.9067
36,1850,0.3812052,0.32453626,0.8888,0.89910007
37,1900,0.27177906,0.27730048,0.92080003,0.90840006
38,1950,0.30660647,0.30017266,0.90400004,0.90900004
