,step,train_loss,test_loss,train_accuracy,test_accuracy
0,50,2.2306442,2.0215096,0.1545098,0.23950002
1,100,1.6974322,1.4340037,0.35160002,0.45990002
2,150,1.3071557,1.2325581,0.48400003,0.51600003
3,200,1.2493309,1.3124424,0.5288,0.51320004
4,250,1.17867,1.2012165,0.5404,0.5266
5,300,1.2683094,1.2124612,0.5156,0.526
6,350,1.259658,1.1638066,0.5144,0.5342
7,400,1.1671691,1.156062,0.55240005,0.54990005
8,450,1.2199597,1.1848032,0.51600003,0.53790003
9,500,1.1950154,1.1490064,0.54160005,0.5472
10,550,1.1354148,1.1097503,0.58720005,0.60090005
11,600,1.1528276,1.0761635,0.5752,0.5644
12,650,1.2369143,1.2789078,0.5228,0.5253
13,700,1.1227691,1.2030958,0.58080006,0.51820004
14,750,1.1172253,1.0917522,0.57280004,0.5827
15,800,1.1312693,1.0114658,0.56960005,0.6187
16,850,1.0903997,1.1194907,0.59720004,0.5759
17,900,1.1348349,1.0742602,0.568,0.58940005
18,950,1.0793227,1.0898755,0.59840006,0.5921
19,1000,1.0688761,1.0116895,0.6032,0.6047
20,1050,0.9911159,1.0183218,0.62520003,0.6359
21,1100,1.0185283,1.0164008,0.61160004,0.63140005
22,1150,0.94448406,0.98827696,0.646,0.62990004
23,1200,0.8900213,1.0182956,0.67240006,0.62600005
24,1250,1.0351782,1.0328819,0.61960006,0.6006
25,1300,0.965628,1.0400796,0.6376,0.60830003
26,1350,1.0215656,1.0090405,0.61880004,0.61160004
27,1400,1.0239097,1.0063761,0.61160004,0.6118
28,1450,0.95778817,1.0054302,0.65320003,0.6395
29,1500,1.0711596,0.9860894,0.6072,0.6241
30,1550,1.1114827,1.1082813,0.5776,0.5666
31,1600,0.98053306,0.98028725,0.62920004,0.6304
32,1650,1.0000005,1.0170262,0.6244,0.61200005
33,1700,1.0121269,0.9662056,0.6168,0.64250004
34,1750,0.95060414,0.9506062,0.63720006,0.6671
35,1800,0.9377134,0.95772415,0.6552,0.6477
36,1850,0.9958039,0.9156348,0.64640003,0.6854
37,1900,0.873962,0.97706765,0.69200003,0.6506
38,1950,0.9726497,0.94183815,0.66440004,0.6571
39,2000,0.96966106,0.9343108,0.6516,0.6635
40,2050,0.90664047,0.93178374,0.68240005,0.67380005
41,2100,0.9151519,0.9654323,0.66440004,0.6559
42,2150,1.0193855,1.0910058,0.6308,0.61020005
43,2200,0.9446128,0.9299246,0.666,0.67260003
44,2250,0.87608147,0.9229942,0.684,0.68630004
45,2300,0.92621106,0.91012985,0.6872,0.69060004
46,2350,0.8233889,0.92767596,0.7152,0.6739
47,2400,0.8352619,0.9135475,0.72,0.6851
48,2450,0.91834265,0.9219631,0.7024,0.6722
49,2500,0.8694252,0.93927056,0.698,0.6649
50,2550,0.9344483,0.9103068,0.66040003,0.6721
51,2600,0.93709344,0.94583374,0.666,0.6729
52,2650,0.9389665,0.9115661,0.66880006,0.6718
53,2700,0.97261876,0.8803265,0.66560006,0.6865
